Sym,logFC,AveExpr,t,P.Value,adj.P.Val,B
GJB3,0.144584915854599,9.87282283901112,2.6737200920369,0.049065763330957,0.229226615822232,-4.43399793979675
ATP5B,0.144545581453547,9.39949013720033,2.36642489100413,0.0698155927575105,0.269809400909288,-4.81929738383269
RBPJ,-0.144544634800356,9.21215541156672,-1.56287559133942,0.185100408802678,0.421063063164538,-5.8356658034811
IFRD2,0.144541208251642,10.0591622742502,2.11349528407818,0.0942618732485576,0.309290361511798,-5.14136760471786
P2RX6,0.144486339898284,10.4080630117343,1.75203330242512,0.146497002488478,0.377392592400717,-5.60078091360184
OR2F1,-0.144479038076142,9.78694014379768,-3.10868903457674,0.0305452202349027,0.187420244371804,-3.90778109300744
RBPMS,-0.144455569522885,8.77860760893332,-2.24013159440824,0.0810234580718723,0.287805973851074,-4.97979632412892
IGFBP7,-0.144435158607447,8.85556237200119,-2.7151018344039,0.0468413799869734,0.224961925717824,-4.38286302088762
PRKCA,0.144279122655268,8.87149088623004,1.76604352561462,0.143988266906618,0.374806964877129,-5.583160104583
PDE6A,0.144221181430652,9.236159166786,1.87659121074628,0.125694035637959,0.351416511917626,-5.44337961762598
UBE2G2,-0.144160505205846,10.0307223588045,-3.00862531145809,0.0339719172378361,0.196488923841501,-4.02649879575029
MASP2,0.144123638788725,9.98794205451771,2.04643356856423,0.102204330133637,0.321695549850077,-5.22700664707332
P2RX1,0.144121744966299,9.39689461792691,2.28465167936657,0.0768620606396857,0.282048324258269,-4.92312113251027
KBTBD2,-0.14407366845214,9.29790115384134,-1.75440991664504,0.146068274111326,0.377085027291144,-5.59779356364231
ST3GAL6,-0.144067193639813,8.58559444069418,-3.05002732735592,0.0325033745383016,0.193030543797511,-3.97719899842643
RNF139,-0.144024690243285,9.08309364047623,-2.39654800411971,0.0674016528226184,0.265418656485343,-4.78116022638634
EIF3I,-0.14402394044796,10.0908677500496,-1.56176546920232,0.185355012769468,0.421068870609434,-5.83702399224159
FUT5,0.143998989860565,9.27743916344186,1.82894306358077,0.133262386197228,0.3607106910184,-5.50377275440685
BAZ2A,-0.14399875964434,9.59377363341581,-1.52982639994973,0.192831779769158,0.429999722180295,-5.8759773469754
KAT6A,-0.143995788824411,9.43689395074033,-1.87467157530389,0.125990066695883,0.351781447219093,-5.44581630283366
MTUS1,-0.143970150798095,8.79911445159315,-2.79471972830027,0.0428740338112425,0.216903290983332,-4.28506921911484
TRMU,0.14391114503308,9.2434373196359,2.77736105262077,0.0437055785809571,0.218604101411466,-4.30632265942999
PARD3,-0.143823763258773,9.0021698022813,-2.4435350173325,0.0638183281280532,0.259112348528409,-4.72180858896057
CA2,0.143795824445458,8.68942284471158,2.26043652759898,0.0790957340195489,0.285859388052393,-4.95393647173337
NDST2,0.143744308384628,9.258987937402,2.37495821507685,0.0691222270406268,0.268655606434808,-4.80848731785043
SNX2,-0.143721516926336,8.88889256672939,-1.49144488212423,0.202214001281736,0.440865123589373,-5.92245532798317
PMS1,0.143653112839768,8.69985575738471,1.76943941083539,0.143386901882477,0.374806964877129,-5.5788854038503
HSPB6,0.143649969388765,8.8861345426928,1.41396747966571,0.222541337405586,0.461870798974042,-6.01503640216077
CTNND1,-0.143630478444324,8.80616553270186,-3.02973192469954,0.0332139963687327,0.194760475784291,-4.00133454916053
SERPIND1,0.143567474782595,9.42142801113562,1.73577420999575,0.149465103935597,0.3816965507583,-5.62119840793639
UPF2,-0.143559651128649,9.00943480164376,-1.90700297096802,0.121100533159217,0.346229560587734,-5.40474151751025
WDFY3,-0.143418715219248,8.61181270969288,-1.78610489813138,0.140473166102819,0.37210043922847,-5.5578872491515
UBE2M,-0.143402742168629,10.2870408155134,-1.13564909832489,0.312829325593026,0.555635244869099,-6.32962517298516
TPM1,0.143386889705416,11.0623032700419,1.11838652787877,0.319409978472423,0.562391994252059,-6.34798375091053
ALX3,0.143369956141047,9.28738875181848,1.64831734334649,0.166523496433787,0.400564066683705,-5.73035304023334
CAPN11,0.143312410403013,9.05683758386125,1.97144001128645,0.111943470282856,0.334576550670875,-5.32269468203073
GABPA,-0.143312400477424,8.6725269945405,-2.57914487472589,0.0546087956807839,0.241662492990718,-4.55159655296726
CCDC86,0.143295582311946,9.59565821113528,2.48522691030914,0.0608149685228752,0.252499774803067,-4.66929757289993
CD22,0.143290827286357,9.94342266026112,1.49174641644639,0.202138561644971,0.440865123589373,-5.92209168068736
PCDH7,-0.143270117892207,8.85278275639005,-2.08327648885338,0.0977554653572851,0.314599063887827,-5.17995935711933
RBCK1,-0.14326483786768,10.3963214946473,-0.754041207021583,0.48829715357398,0.704858913818597,-6.69195060953097
CBX3,0.143223742320259,10.7699069273504,2.20300533586612,0.0846820226668014,0.294347630438921,-5.0271208197119
RAB35,-0.143150591758092,10.4246368556874,-2.6447102557758,0.0506959166090939,0.23257404625678,-4.46996422389673
MT1F,0.143140138975765,10.9298966814169,2.91927587913561,0.0374066599114686,0.20605089573893,-4.13373496432576
ARHGEF10,-0.142925255429011,9.40960612865365,-1.76966547511212,0.143346961396971,0.374806964877129,-5.57860078718538
GATAD1,-0.142852929308788,9.93605117473045,-2.50517643208247,0.0594336648756311,0.249887090796259,-4.644225542063
AZIN1,-0.142788530559807,9.4670365306009,-2.4072216185429,0.0665685435805089,0.263836858003026,-4.76766281281795
NRG2,0.142668446818309,9.26083598393046,1.79665644430564,0.138660192784155,0.369861604884805,-5.54457614994179
MED13L,0.142661288465201,9.80494725585203,0.851853082979044,0.437180690363199,0.666429021021303,-6.60878796510138
LRBA,-0.142629744220715,9.46016663294444,-1.26150356801027,0.268439473946363,0.512406342382394,-6.19136752464167
GAK,0.142611642544752,9.24483242384873,2.05490138761226,0.101162931192269,0.320381858266655,-5.21619460940529
MRE11A,0.142575920212199,9.09432692194126,3.03277890629141,0.0331061853298806,0.194700343657124,-3.99770717929883
LOC102724788,0.142506968159182,10.8885952867234,0.728946101732516,0.502101088057638,0.715309900643941,-6.7120344820564
PTPRD,0.142495031694031,9.04126076164167,2.89492213207892,0.0384102805391298,0.207728995953151,-4.16315910909732
KIF5A,-0.142412204852384,9.2329492538422,-1.90230760152139,0.12179803849632,0.346620260315358,-5.41071105737376
PTPN2,0.142389100596954,8.56013775081276,2.8311571663698,0.041186102804933,0.21267742954659,-4.24058338348911
ALDH3A2,-0.142341763196342,9.28678072615353,-2.42263029628145,0.065385855421054,0.261654803493816,-4.74819296930049
FGFR2,-0.14230018496654,9.02799709701463,-2.16033805058626,0.0891099490304268,0.301162755574409,-5.08156026737146
DHRS1,0.142262524924334,9.20153239442093,2.59961901097703,0.0533517451095567,0.23891540451414,-4.52605535121728
HOXC5,0.142261828840596,9.96318793433345,1.72680759088265,0.151128407507885,0.383178160347198,-5.63244303705759
UPF1,-0.142227885231069,10.3450521928482,-1.53481637667459,0.191644149256521,0.428807521171865,-5.86990750343744
SHB,-0.142192138856194,9.80319047963566,-2.84986066681937,0.0403489947770911,0.210544088450971,-4.21781658710603
OGT,-0.142139781778518,8.96235808240246,-1.32038238149332,0.249740351093348,0.492611447214212,-6.1242976762966
GNRH2,0.142139581064699,9.92371546119173,1.45365421315876,0.211891203943995,0.450479835844616,-5.96783197734975
HOXA4,0.142135129447889,8.81372203508911,2.1453720697725,0.0907220526990254,0.303047153948984,-5.10066501596227
SLC1A7,0.142120810131351,9.52885488708517,2.16103592793912,0.0890355361416456,0.301122175953933,-5.08066949604887
NAGPA,-0.142110427365207,9.50078955590819,-3.04726692532283,0.032598998280869,0.193202947455936,-3.98047814153965
NMT2,-0.142068775081027,9.02743827122415,-3.0752017410082,0.0316459504791825,0.190907274341819,-3.94734578875916
ATP6V1G2,0.142040764027344,9.45118190780156,2.1620822512894,0.0889240954651568,0.300977897158469,-5.07933398610062
RASSF1,0.142010110791027,9.83815050349413,1.47524014722364,0.206309249987473,0.444730410785268,-5.94196177929685
WRB,-0.141953627536788,9.04305756671013,-1.60778555652428,0.175089286531998,0.41017452908068,-5.78049511737303
ZBTB7A,-0.141900088743576,9.43299012286607,-2.7457200275217,0.0452686029654778,0.222347091804723,-4.34516137720558
KNG1,0.141878688999947,8.94082259241506,1.83746307173137,0.131874845921704,0.358637403264854,-5.4929882593925
MAX,-0.141854171646644,9.06381176376104,-1.72945836556952,0.150634715604204,0.383061263916938,-5.62911998179997
KCNIP4,0.141824492508357,8.97649439096534,3.17767496139954,0.028413137388753,0.181117965776973,-3.82680918412041
HDAC1,-0.141815671408557,11.3254146171772,-2.96052069167843,0.0357742359846825,0.20111355635589,-4.08409216930303
CHERP,0.14175370967684,10.0667424746018,1.6465859233655,0.166880573891082,0.400908415066853,-5.73250127127422
DDN,0.141724076467112,8.89528295016669,1.92744295011169,0.118112892093393,0.342661775949327,-5.37873911768509
AP2B1,-0.141696978654291,10.0461276406831,-1.2598882678835,0.268970484196694,0.51273755369212,-6.19318757710728
CUX1,-0.141673050955664,10.6971426771814,-3.00989404872304,0.0339258039475631,0.196488923841501,-4.02498431697198
N4BP2L2,-0.141662639488967,8.57085170029658,-2.39048068710946,0.0678803556666752,0.26597438077232,-4.78883647938807
DDX51,0.141661899792203,9.73311902198708,1.74524301105977,0.147729108151791,0.378895931880649,-5.60931213047994
SLC25A16,-0.141631522136912,8.93004364378069,-2.94566293554428,0.0363527596896519,0.202776647875093,-4.10194752267764
